,date,sentiment,deviation,sign_deviation,signed_squared_deviation
0,2020-03-11,0.043060283687943283,-0.038343364417976165,-1.0,-0.0014702135948897208
1,2020-03-12,0.029311009174311974,-0.052092638931607475,-1.0,-0.0027136430308588267
2,2020-03-13,0.10111823899371064,0.019714590887791192,1.0,0.0003886650938729795
3,2020-03-14,0.11412904564315356,0.03272539753723411,1.0,0.0010709516439700083
4,2020-03-15,0.0852228682170542,0.0038192201111347523,1.0,1.458644225729615e-05
5,2020-03-16,0.06162137096774192,-0.019782277138177526,-1.0,-0.0003913384887716612
6,2020-03-17,0.04331217105263156,-0.03809147705328789,-1.0,-0.0014509606241011575
7,2020-03-18,0.08085982142857139,-0.0005438266773480638,-1.0,-2.957474549954351e-07
8,2020-03-19,0.11913867403314915,0.0377350259272297,1.0,0.0014239321817286978
9,2020-03-20,0.14193201970443353,0.06052837159851408,1.0,0.0036636837683678065
10,2020-03-21,0.09864480874316944,0.017241160637249994,1.0,0.00029725762011945865
11,2020-03-22,0.10049010989010992,0.019086461784190475,1.0,0.0003642930234393635
12,2020-03-23,0.08872388059701489,0.007320232491095438,1.0,5.3585803723689323e-05
13,2020-03-24,0.06615761589403972,-0.015246032211879729,-1.0,-0.00023244149820567429
14,2020-03-25,0.15796686746987962,0.07656321936396017,1.0,0.005861926559373886
15,2020-03-26,0.04632321428571426,-0.03508043382020519,-1.0,-0.0012306368370137962
16,2020-03-27,0.0955795321637427,0.014175884057823246,1.0,0.00020095568882084726
17,2020-03-28,0.149559842519685,0.06815619441376554,1.0,0.004645266836967005
18,2020-03-29,0.10802243589743588,0.026618787791516427,1.0,0.000708559863489784
19,2020-03-30,0.05057307692307692,-0.030830571182842527,-1.0,-0.00095052411946032
20,2020-03-31,0.10519920634920636,0.023795558243286913,1.0,0.0005662285921096597
21,2020-04-01,0.08025564516129029,-0.0011480029446291617,-1.0,-1.3179107608772263e-06
22,2020-04-02,0.08351449275362317,0.0021108446477037246,1.0,4.455665126739461e-06
23,2020-04-03,0.024739495798319317,-0.056664152307600135,-1.0,-0.0032108261567389057
24,2020-04-04,0.07373629032258065,-0.007667357783338796,-1.0,-5.878837537772602e-05
25,2020-04-05,0.055544954128440384,-0.025858693977479065,-1.0,-0.0006686720542209121
26,2020-04-06,0.02144637681159419,-0.05995727129432526,-1.0,-0.0035948743810613197
27,2020-04-07,0.002178947368421044,-0.0792247007374984,-1.0,-0.0062765532069461805
28,2020-04-08,0.1165389380530973,0.03513528994717785,1.0,0.001234488599672257
29,2020-04-09,0.10808913043478262,0.02668548232886317,1.0,0.0007121149671240685
30,2020-04-10,0.07998981481481482,-0.0014138332911046297,-1.0,-1.9989245750357485e-06
31,2020-04-11,0.008504724409448787,-0.07289892369647066,-1.0,-0.005314253076103852
32,2020-04-12,0.03347410071942447,-0.04792954738649498,-1.0,-0.0022972415126742674
33,2020-04-13,-0.02653749999999999,-0.10794114810591944,-1.0,-0.011651291454424036
34,2020-04-14,0.1097782608695652,0.02837461276364575,1.0,0.0008051186494868484
35,2020-04-15,0.03444384615384615,-0.0469598019520733,-1.0,-0.002205222999377947
36,2020-04-16,0.0794940170940171,-0.001909631011902349,-1.0,-3.64669060161919e-06
37,2020-04-17,0.1678828571428571,0.08647920903693766,1.0,0.007478653595654361
38,2020-04-18,0.1193849056603774,0.037981257554457956,1.0,0.0014425759254180696
39,2020-04-19,0.013407766990291258,-0.0679958811156282,-1.0,-0.004623439848690643
40,2020-04-20,0.11738,0.03597635189408055,1.0,0.0012942978956067132
41,2020-04-21,0.09158372093023256,0.010180072824313116,1.0,0.00010363388270831843
42,2020-04-22,0.09141792452830187,0.010014276422382423,1.0,0.0001002857322638845
43,2020-04-23,0.13772386363636366,0.05632021553044421,1.0,0.003171966677395689
44,2020-04-24,0.13395035971223032,0.05254671160631087,1.0,0.002761156900636806
45,2020-04-25,0.10696296296296298,0.025559314857043533,1.0,0.0006532785759614863
46,2020-04-26,0.10648349514563107,0.025079847039711625,1.0,0.000628998727535332
47,2020-04-27,0.17057830188679246,0.08917465378087301,1.0,0.00795211887693857
48,2020-04-28,0.0677838383838384,-0.013619809722081044,-1.0,-0.00018549921686569334
49,2020-04-29,0.07279390243902435,-0.008609745666895097,-1.0,-7.41277204486189e-05
50,2020-04-30,0.11336666666666667,0.03196301856074722,1.0,0.0010216345555146714
51,2020-05-01,0.03259600000000002,-0.04880764810591943,-1.0,-0.0023821865136312605
52,2020-05-02,0.12155757575757573,0.04015392765165628,1.0,0.0016123379058544465
53,2020-05-03,-0.014867605633802813,-0.09627125373972226,-1.0,-0.009268154296617986
54,2020-05-04,0.0228375,-0.05856614810591945,-1.0,-0.0034299937039644927
55,2020-05-05,0.06726568627450978,-0.014137961831409668,-1.0,-0.0001998819647463966
56,2020-05-06,-0.0019451086956522267,-0.08334875680157168,-1.0,-0.006947015260367542
57,2020-05-07,0.21112934782608692,0.12972569972016745,1.0,0.016828757167887055
